"","date","hits","keyword","geo","time","gprop","category"
"1",2021-12-05,33,"war","world","2021-11-30 2023-12-01","web",0
"2",2021-12-12,35,"war","world","2021-11-30 2023-12-01","web",0
"3",2021-12-19,31,"war","world","2021-11-30 2023-12-01","web",0
"4",2021-12-26,31,"war","world","2021-11-30 2023-12-01","web",0
"5",2022-01-02,34,"war","world","2021-11-30 2023-12-01","web",0
"6",2022-01-09,39,"war","world","2021-11-30 2023-12-01","web",0
"7",2022-01-16,43,"war","world","2021-11-30 2023-12-01","web",0
"8",2022-01-23,48,"war","world","2021-11-30 2023-12-01","web",0
"9",2022-01-30,43,"war","world","2021-11-30 2023-12-01","web",0
"10",2022-02-06,38,"war","world","2021-11-30 2023-12-01","web",0
"11",2022-02-13,44,"war","world","2021-11-30 2023-12-01","web",0
"12",2022-02-20,100,"war","world","2021-11-30 2023-12-01","web",0
"13",2022-02-27,99,"war","world","2021-11-30 2023-12-01","web",0
"14",2022-03-06,72,"war","world","2021-11-30 2023-12-01","web",0
"15",2022-03-13,57,"war","world","2021-11-30 2023-12-01","web",0
"16",2022-03-20,55,"war","world","2021-11-30 2023-12-01","web",0
"17",2022-03-27,59,"war","world","2021-11-30 2023-12-01","web",0
"18",2022-04-03,50,"war","world","2021-11-30 2023-12-01","web",0
"19",2022-04-10,48,"war","world","2021-11-30 2023-12-01","web",0
"20",2022-04-17,52,"war","world","2021-11-30 2023-12-01","web",0
"21",2022-04-24,51,"war","world","2021-11-30 2023-12-01","web",0
"22",2022-05-01,52,"war","world","2021-11-30 2023-12-01","web",0
"23",2022-05-08,48,"war","world","2021-11-30 2023-12-01","web",0
"24",2022-05-15,47,"war","world","2021-11-30 2023-12-01","web",0
"25",2022-05-22,42,"war","world","2021-11-30 2023-12-01","web",0
"26",2022-05-29,35,"war","world","2021-11-30 2023-12-01","web",0
"27",2022-06-05,41,"war","world","2021-11-30 2023-12-01","web",0
"28",2022-06-12,37,"war","world","2021-11-30 2023-12-01","web",0
"29",2022-06-19,40,"war","world","2021-11-30 2023-12-01","web",0
"30",2022-06-26,38,"war","world","2021-11-30 2023-12-01","web",0
"31",2022-07-03,41,"war","world","2021-11-30 2023-12-01","web",0
"32",2022-07-10,38,"war","world","2021-11-30 2023-12-01","web",0
"33",2022-07-17,38,"war","world","2021-11-30 2023-12-01","web",0
"34",2022-07-24,36,"war","world","2021-11-30 2023-12-01","web",0
"35",2022-07-31,40,"war","world","2021-11-30 2023-12-01","web",0
"36",2022-08-07,37,"war","world","2021-11-30 2023-12-01","web",0
"37",2022-08-14,36,"war","world","2021-11-30 2023-12-01","web",0
"38",2022-08-21,37,"war","world","2021-11-30 2023-12-01","web",0
"39",2022-08-28,38,"war","world","2021-11-30 2023-12-01","web",0
"40",2022-09-04,39,"war","world","2021-11-30 2023-12-01","web",0
"41",2022-09-11,43,"war","world","2021-11-30 2023-12-01","web",0
"42",2022-09-18,45,"war","world","2021-11-30 2023-12-01","web",0
"43",2022-09-25,43,"war","world","2021-11-30 2023-12-01","web",0
"44",2022-10-02,45,"war","world","2021-11-30 2023-12-01","web",0
"45",2022-10-09,44,"war","world","2021-11-30 2023-12-01","web",0
"46",2022-10-16,45,"war","world","2021-11-30 2023-12-01","web",0
"47",2022-10-23,44,"war","world","2021-11-30 2023-12-01","web",0
"48",2022-10-30,51,"war","world","2021-11-30 2023-12-01","web",0
"49",2022-11-06,73,"war","world","2021-11-30 2023-12-01","web",0
"50",2022-11-13,71,"war","world","2021-11-30 2023-12-01","web",0
"51",2022-11-20,56,"war","world","2021-11-30 2023-12-01","web",0
"52",2022-11-27,51,"war","world","2021-11-30 2023-12-01","web",0
"53",2022-12-04,51,"war","world","2021-11-30 2023-12-01","web",0
"54",2022-12-11,49,"war","world","2021-11-30 2023-12-01","web",0
"55",2022-12-18,49,"war","world","2021-11-30 2023-12-01","web",0
"56",2022-12-25,46,"war","world","2021-11-30 2023-12-01","web",0
"57",2023-01-01,42,"war","world","2021-11-30 2023-12-01","web",0
"58",2023-01-08,45,"war","world","2021-11-30 2023-12-01","web",0
"59",2023-01-15,46,"war","world","2021-11-30 2023-12-01","web",0
"60",2023-01-22,48,"war","world","2021-11-30 2023-12-01","web",0
"61",2023-01-29,46,"war","world","2021-11-30 2023-12-01","web",0
"62",2023-02-05,46,"war","world","2021-11-30 2023-12-01","web",0
"63",2023-02-12,44,"war","world","2021-11-30 2023-12-01","web",0
"64",2023-02-19,48,"war","world","2021-11-30 2023-12-01","web",0
"65",2023-02-26,42,"war","world","2021-11-30 2023-12-01","web",0
"66",2023-03-05,44,"war","world","2021-11-30 2023-12-01","web",0
"67",2023-03-12,38,"war","world","2021-11-30 2023-12-01","web",0
"68",2023-03-19,41,"war","world","2021-11-30 2023-12-01","web",0
"69",2023-03-26,40,"war","world","2021-11-30 2023-12-01","web",0
"70",2023-04-02,43,"war","world","2021-11-30 2023-12-01","web",0
"71",2023-04-09,39,"war","world","2021-11-30 2023-12-01","web",0
"72",2023-04-16,42,"war","world","2021-11-30 2023-12-01","web",0
"73",2023-04-23,45,"war","world","2021-11-30 2023-12-01","web",0
"74",2023-04-30,43,"war","world","2021-11-30 2023-12-01","web",0
"75",2023-05-07,42,"war","world","2021-11-30 2023-12-01","web",0
"76",2023-05-14,41,"war","world","2021-11-30 2023-12-01","web",0
"77",2023-05-21,38,"war","world","2021-11-30 2023-12-01","web",0
"78",2023-05-28,35,"war","world","2021-11-30 2023-12-01","web",0
"79",2023-06-04,38,"war","world","2021-11-30 2023-12-01","web",0
"80",2023-06-11,36,"war","world","2021-11-30 2023-12-01","web",0
"81",2023-06-18,39,"war","world","2021-11-30 2023-12-01","web",0
"82",2023-06-25,37,"war","world","2021-11-30 2023-12-01","web",0
"83",2023-07-02,36,"war","world","2021-11-30 2023-12-01","web",0
"84",2023-07-09,35,"war","world","2021-11-30 2023-12-01","web",0
"85",2023-07-16,38,"war","world","2021-11-30 2023-12-01","web",0
"86",2023-07-23,37,"war","world","2021-11-30 2023-12-01","web",0
"87",2023-07-30,35,"war","world","2021-11-30 2023-12-01","web",0
"88",2023-08-06,38,"war","world","2021-11-30 2023-12-01","web",0
"89",2023-08-13,33,"war","world","2021-11-30 2023-12-01","web",0
"90",2023-08-20,33,"war","world","2021-11-30 2023-12-01","web",0
"91",2023-08-27,39,"war","world","2021-11-30 2023-12-01","web",0
"92",2023-09-03,36,"war","world","2021-11-30 2023-12-01","web",0
"93",2023-09-10,36,"war","world","2021-11-30 2023-12-01","web",0
"94",2023-09-17,35,"war","world","2021-11-30 2023-12-01","web",0
"95",2023-09-24,37,"war","world","2021-11-30 2023-12-01","web",0
"96",2023-10-01,43,"war","world","2021-11-30 2023-12-01","web",0
"97",2023-10-08,68,"war","world","2021-11-30 2023-12-01","web",0
"98",2023-10-15,56,"war","world","2021-11-30 2023-12-01","web",0
"99",2023-10-22,49,"war","world","2021-11-30 2023-12-01","web",0
"100",2023-10-29,49,"war","world","2021-11-30 2023-12-01","web",0
"101",2023-11-05,46,"war","world","2021-11-30 2023-12-01","web",0
"102",2023-11-12,46,"war","world","2021-11-30 2023-12-01","web",0
"103",2023-11-19,38,"war","world","2021-11-30 2023-12-01","web",0
"104",2023-11-26,42,"war","world","2021-11-30 2023-12-01","web",0
